CustomerID,First_Purchase,Recency,Frequency,Monetary,Min,Max,Mean
12987,198,74,2,545.0,10.2,49.95,19.95
12988,293,293,1,505.82,0.85,29.85,6.09
12989,365,4,15,6854.51,0.39,810.0,108.19
12990,311,32,3,409.5,19.5,58.5,31.5
12991,113,24,2,503.76,5.04,42.5,16.25
12993,299,24,4,414.76,6.96,20.8,15.36
12994,269,5,3,902.22,6.72,25.5,15.97
12995,86,86,1,200.72,38.16,135.0,70.44
12997,318,23,4,1197.94,1.92,83.2,20.79
12999,246,197,3,455.88,5.04,76.5,16.28
13000,365,107,3,534.85,2.88,76.32,17.25
13001,327,5,13,9765.07,0.85,415.0,29.04
13002,319,319,1,120.95,9.95,26.1,17.28
13003,215,106,3,149.05,8.5,60.0,24.84
13004,358,12,18,5613.43,2.88,39.75,14.0
13005,247,174,2,468.95,9.9,75.0,19.76
13006,57,57,1,81.57,4.56,38.25,20.39
13008,324,324,1,178.47,6.96,34.8,16.39
13011,373,373,1,50.55,15.0,17.85,16.85
13012,295,10,8,1296.62,4.68,50.4,18.71
13013,372,2,13,4786.99,5.04,102.0,21.97
13014,282,11,10,3365.43,9.95,175.2,31.8
13015,250,54,5,3339.64,5.04,295.0,19.08
13016,124,74,3,789.89,7.44,34.68,16.81
13017,8,8,1,204.0,204.0,204.0,204.0
13018,296,17,28,7272.75,4.56,83.4,15.89
13021,359,5,9,2584.4,6.64,75.6,19.97
13023,130,65,2,689.9,6.6,45.0,17.25
13026,276,2,5,936.15,4.68,159.36,24.38
13027,355,114,6,6912.0,96.0,576.0,265.85
13028,46,23,2,659.68,6.72,37.44,14.7
13029,354,31,3,1247.5,10.2,449.1,124.75
13030,369,12,2,752.44,1.25,47.4,8.18
13032,88,53,2,996.52,2.08,49.5,14.23
13033,358,358,1,190.55,10.5,19.5,17.32
13034,370,55,2,642.77,5.04,30.0,17.37
13035,261,74,2,886.63,10.2,102.0,34.14
13037,257,139,3,881.07,7.8,47.4,18.36
13038,291,81,3,908.46,9.96,102.0,32.44
13040,34,9,2,676.99,9.36,34.68,15.74
13043,274,274,1,471.57,15.8,120.0,39.72
13044,292,292,1,560.47,5.04,51.0,16.98
13045,100,100,1,305.28,5.04,41.6,16.96
13046,267,31,2,629.31,6.96,85.0,17.98
13047,374,32,10,3079.1,4.95,68.0,18.82
13048,328,15,4,1789.41,0.85,47.2,13.48
13049,319,65,2,656.68,9.9,177.6,46.91
13050,367,15,17,5684.61,0.83,79.6,14.48
13052,213,213,1,348.15,1.7,67.85,19.34
13055,214,79,3,1201.96,4.56,40.8,15.98
13058,152,25,3,271.4,9.95,123.75,33.93
13059,250,250,1,183.4,4.95,89.25,22.92
13060,254,254,1,307.53,10.2,61.2,20.5
13061,73,73,1,248.61,9.96,51.75,24.86
13062,192,192,1,346.98,12.6,102.0,31.54
13064,328,13,4,1105.59,0.42,59.0,16.26
13065,374,374,1,205.86,5.04,23.4,14.7
13066,33,25,2,430.9,1.9,39.9,9.81
13067,83,83,1,115.46,2.08,18.75,7.7
13068,320,11,2,344.0,165.0,179.0,172.0
13069,370,1,24,3713.14,0.38,244.8,10.45
13070,193,193,1,228.8,20.8,41.6,25.42
13072,267,267,1,177.15,14.85,35.4,25.31
13075,130,130,1,919.61,14.85,102.0,41.8
13077,367,2,4,728.02,0.21,81.36,6.56
13078,367,4,26,12432.28,2.28,237.6,35.27
13079,141,5,5,220.1,17.7,95.2,36.68
13080,180,180,1,58.08,3.36,17.4,9.68
13081,372,12,11,27964.48,4.0,207.5,27.67
13082,339,127,9,3595.48,8.5,864.0,49.5
13083,76,5,2,303.75,5.04,34.0,16.88
13085,296,158,2,272.38,10.2,60.0,18.91
13089,370,3,97,57322.13,4.56,788.4,32.39
13090,373,9,14,8689.39,4.68,612.0,57.49
13091,29,29,1,319.82,5.88,39.6,16.47
13092,360,71,5,459.83,4.0,39.8,19.11
13093,374,276,8,7741.47,5.04,272.0,49.26
13094,369,22,12,1708.86,53.1,152.64,80.31
13095,71,71,1,74.4,9.36,17.4,12.4
13097,361,33,10,5886.12,0.85,75.6,14.26
13098,318,2,28,28658.88,2.5,499.2,50.49
13099,100,100,1,207.36,207.36,207.36,207.36
13101,235,235,1,101.19,2.95,25.74,12.65
13102,366,2,24,6336.29,2.88,257.76,21.13
13103,40,40,1,243.94,11.4,51.0,30.49
13104,355,4,6,1098.48,10.08,162.72,54.92
13106,134,134,1,59.5,76.5,76.5,76.5
13107,334,45,4,1524.07,6.96,107.4,26.41
13108,373,373,1,350.06,7.8,102.0,35.01
13109,158,60,2,766.84,6.84,51.0,16.73
13110,312,32,7,1452.87,0.42,47.7,10.27
13113,367,1,24,10510.0,0.85,1700.0,61.23
13115,185,12,4,2205.63,4.56,59.5,19.12
13116,139,139,1,485.19,5.04,31.9,16.7
13117,373,22,8,984.91,1.92,35.95,12.96
13118,289,20,5,1125.0,0.65,67.5,15.16
13120,239,239,1,30.6,30.6,30.6,30.6
13121,270,270,1,254.73,1.3,20.28,5.67
13122,241,95,2,922.39,5.04,30.6,16.77
13124,360,90,3,3756.33,0.78,114.75,16.92
13126,367,5,8,2056.29,2.34,47.7,15.0
13127,78,78,1,259.17,8.5,34.68,17.28
13130,95,95,1,64.0,25.0,39.0,32.0
13131,188,24,3,1039.3,8.5,119.4,24.39
13132,262,262,1,77.3,15.3,45.0,25.77
13133,305,274,2,109.8,9.95,19.9,15.69
13134,241,86,4,1740.63,6.8,61.2,18.3
13135,197,197,1,3096.0,3096.0,3096.0,3096.0
13136,213,57,5,2545.38,9.36,51.0,20.53
13137,309,11,8,3557.96,0.12,39.6,5.24
13138,373,23,6,962.39,9.0,30.0,15.28
13139,260,17,7,5055.79,6.64,117.0,29.79
13140,367,109,3,422.47,1.25,31.8,9.39
13141,316,85,5,2385.8,2.5,71.4,17.69
13142,20,20,1,307.09,2.89,30.6,13.35
13144,333,333,1,110.95,23.6,63.75,36.98
13145,373,40,4,614.77,15.0,295.0,103.09
13146,27,27,1,228.91,1.65,51.0,13.47
13147,100,11,4,712.8,118.8,237.6,178.2
13148,365,30,12,3324.62,0.39,62.5,11.81
13149,290,15,4,1676.06,6.0,76.5,19.49
13151,296,296,1,1250.37,1.7,35.4,17.0
13153,6,6,1,486.22,6.24,140.4,32.41
13155,369,34,4,971.76,0.42,46.8,11.43
13157,299,50,4,1721.57,5.04,60.0,20.01
13158,319,95,4,1201.06,3.36,35.4,15.2
13159,116,9,4,1371.25,1.25,74.7,11.91
13160,23,23,1,91.8,15.0,34.8,22.95
13161,314,314,1,112.75,1.25,27.0,14.09
13162,335,123,4,1644.99,3.75,78.3,21.37
13165,352,47,2,1021.48,2.88,102.0,24.32
13166,284,284,1,414.7,2.5,31.8,10.18
13167,144,19,4,791.33,0.42,41.76,12.17
13168,319,37,4,1290.54,1.25,59.0,10.31
13169,253,64,2,712.88,7.9,153.0,54.84
13170,27,27,1,108.81,0.78,10.2,3.63
13171,300,22,3,426.81,1.25,83.2,10.18
13173,368,5,2,353.65,0.42,30.0,8.22
13174,370,17,3,2742.82,0.42,49.95,9.36
13176,47,47,1,481.49,0.55,30.24,7.19
13177,65,65,1,282.45,12.6,19.8,16.61
13178,361,27,11,5725.47,8.5,85.92,21.61
13182,46,46,1,121.18,5.04,15.0,11.02
13183,335,8,9,3957.78,0.79,177.6,42.1
13184,291,15,10,1616.45,0.6,60.0,9.32
13185,268,268,1,71.4,71.4,71.4,71.4
13186,129,40,3,1539.69,2.5,50.4,19.95
13187,338,338,1,236.02,0.85,19.9,6.38
13188,12,12,1,114.6,15.0,99.6,57.3
13189,116,19,2,260.68,2.88,18.72,8.99
13192,206,96,2,911.94,5.04,29.7,14.48
13193,62,62,1,112.08,1.25,16.95,4.48
13194,136,136,1,60.7,9.0,34.0,20.23
13196,263,12,4,1797.78,5.04,53.1,16.34
13198,362,11,6,3384.09,2.52,42.0,15.05
13199,367,4,38,9803.96,5.76,408.0,82.5
13200,127,20,4,870.09,2.88,76.32,18.92
13203,243,10,4,869.46,4.56,39.95,15.25
13207,151,16,2,250.26,6.72,71.4,31.28
13208,310,59,6,1199.65,0.39,47.2,8.23
13209,362,31,8,5820.16,1.25,85.92,18.35
13210,94,94,1,353.48,10.2,30.24,16.07
13211,362,11,3,1095.42,1.25,204.0,19.92
13212,62,20,3,779.33,0.39,50.0,5.58
13213,200,57,5,1518.43,2.88,59.4,16.9
13216,268,268,1,333.74,10.5,92.5,66.75
13217,157,123,3,133.62,52.02,239.04,133.5
13218,128,128,1,62.64,5.88,19.8,12.53
13220,237,79,4,819.29,0.85,166.8,39.01
13221,360,241,2,847.41,1.45,59.4,12.84
13223,233,201,2,163.2,15.0,100.8,32.64
13224,152,61,2,2150.85,2.95,135.0,19.96
13225,362,4,7,6083.04,56.16,568.8,202.0
13226,274,274,1,108.21,0.85,15.0,6.76
13227,202,202,1,257.7,10.5,67.5,28.63
13228,82,82,1,358.0,179.0,179.0,179.0
13229,226,226,1,160.95,13.05,21.9,16.1
13230,366,5,14,2712.07,0.29,85.0,4.69
13232,244,13,7,1328.35,0.39,36.0,6.58
13233,337,75,2,605.12,4.56,46.8,14.07
13235,213,213,1,101.17,1.3,75.6,17.78
13236,107,25,2,727.27,11.7,40.56,20.69
13238,361,18,4,680.83,12.48,104.0,22.6
13239,262,262,1,329.56,2.34,44.55,15.69
13240,366,97,4,663.65,1.65,30.6,9.91
13242,214,113,3,270.4,20.8,20.8,20.8
13243,204,204,1,585.12,1.25,34.0,10.27
13244,93,93,1,121.74,1.45,9.95,4.51
13245,51,51,1,430.5,9.9,38.25,26.91
13246,331,19,6,1896.32,0.65,174.0,14.42
13247,83,18,4,501.12,5.1,52.02,20.04
13248,190,125,2,465.68,9.96,31.6,17.91
13249,262,93,3,711.41,0.57,152.64,30.93
13253,340,157,2,1030.4,4.56,180.0,28.62
13255,374,10,2,390.66,14.95,90.0,30.73
13258,206,12,3,672.83,2.1,81.6,18.69
13259,62,62,1,283.18,0.21,25.5,3.5
13260,62,62,1,557.62,16.6,219.0,69.7
13261,286,269,2,944.1,67.5,135.0,104.9
13262,264,264,1,200.29,6.96,51.0,18.21
13263,326,2,35,7436.93,0.19,122.4,4.46
13265,274,54,5,2092.66,4.0,232.0,23.25
13266,257,12,12,3717.67,4.56,117.0,20.5
13267,367,3,19,4404.44,8.2,76.5,21.43
13268,268,18,11,3127.7,0.38,60.0,7.33
13269,370,2,15,5312.97,0.84,177.6,16.96
13270,367,367,1,590.0,590.0,590.0,590.0
13271,38,38,1,172.37,0.19,15.3,2.43
13272,90,32,2,276.56,13.5,29.7,18.44
13273,114,114,1,138.98,2.52,24.9,8.69
13276,100,64,2,590.93,11.5,46.0,19.7
13277,134,16,4,258.4,25.0,49.5,32.3
13278,41,41,1,542.73,0.55,39.84,11.8
13279,79,79,1,126.3,2.34,25.5,15.31
13280,338,123,3,798.46,0.55,21.9,9.74
13282,221,19,3,1047.84,9.96,91.8,30.6
13283,186,60,2,93.66,4.56,20.8,13.38
13284,331,331,1,196.15,5.04,25.5,15.48
13285,291,24,4,2709.12,5.04,33.0,14.49
13291,156,156,1,361.11,0.42,34.8,8.6
13292,285,39,2,578.94,9.95,39.6,18.68
13294,250,190,2,873.74,9.95,31.8,16.18
13295,360,360,1,197.95,15.9,25.2,20.12
13296,138,138,1,87.4,10.5,34.0,17.48
13297,68,8,4,2089.85,8.5,102.0,35.42
13298,2,2,1,360.0,90.0,270.0,180.0
13299,269,269,1,142.5,17.7,59.7,28.5
13300,170,170,1,365.29,5.04,30.0,18.59
13301,293,104,4,618.09,0.48,34.0,7.63
13302,156,156,1,63.75,63.75,63.75,63.75
13304,352,352,1,300.42,5.04,19.5,14.31
13305,373,5,10,2000.86,9.36,63.6,24.7
13307,121,121,1,15.0,15.0,15.0,15.0
13308,204,23,3,1367.61,9.36,149.4,25.66
13309,309,8,5,1456.79,2.52,40.5,13.61
13310,325,29,3,1083.63,9.96,30.0,15.72
13311,151,5,2,598.57,3.0,78.96,23.02
13313,340,23,5,1555.32,5.04,59.4,19.94
13314,74,2,3,593.51,2.28,29.7,12.52
13316,255,38,4,5570.69,0.21,330.0,66.66
13317,359,67,6,2140.07,9.36,40.8,18.34
13318,38,2,3,640.76,9.96,102.0,32.04
13319,366,6,26,10664.34,8.5,153.0,22.78
13320,214,79,4,1475.2,6.64,25.0,14.59
13321,87,73,2,567.36,17.7,232.0,51.58
13322,18,18,1,199.48,1.25,45.0,7.98
13323,85,4,5,787.85,14.85,204.0,37.52
13324,361,37,10,7072.8,12.6,350.4,94.96
13325,82,82,1,675.3,10.5,133.0,56.28
13327,366,39,8,3617.57,6.6,99.6,33.59
13328,317,317,1,1308.48,10.08,266.4,76.97
13329,367,32,2,740.4,10.5,131.4,46.41
13330,316,93,3,1140.93,6.8,79.2,21.53
13332,15,15,1,350.9,10.08,23.6,16.71
13334,306,83,3,3502.32,0.65,81.6,13.22
13336,78,78,1,795.12,6.96,30.0,15.59
13338,158,158,1,431.82,6.96,130.8,25.63
13339,201,201,1,860.12,6.96,34.0,15.93
13340,277,46,7,10736.48,10.08,414.72,80.12
13341,261,261,1,775.85,7.8,87.6,18.47
13343,178,178,1,303.93,8.5,50.0,18.6
13344,278,68,3,2511.69,6.64,290.0,21.65
13345,288,288,1,377.6,12.6,50.0,19.48
13347,71,71,1,341.36,30.0,59.4,42.67
13348,65,65,1,233.76,9.96,29.7,16.7
13349,11,11,1,247.32,4.68,50.0,15.46
13350,80,17,2,910.72,5.8,61.2,24.48
13351,67,67,1,373.94,14.85,50.0,23.37
13352,61,61,1,389.28,6.96,50.0,16.58
13354,72,72,1,743.53,5.04,39.6,14.58
13355,123,123,1,674.7,8.5,102.0,21.08
13356,81,81,1,768.24,5.8,47.7,18.29
13357,258,258,1,609.4,0.55,40.8,6.85
13358,269,269,1,439.03,2.88,50.0,15.14
13359,64,64,1,431.26,9.96,50.0,19.11
13362,288,10,4,3085.49,4.56,59.4,18.62
13363,44,18,2,992.5,2.88,50.0,16.54
13365,218,34,2,2191.22,5.04,76.5,17.39
13366,51,51,1,56.16,56.16,56.16,56.16
13368,338,257,2,623.4,10.08,50.0,21.5
13369,366,366,1,263.75,10.08,50.0,22.02
13370,372,372,1,721.32,10.2,39.8,19.36
13372,90,90,1,378.64,6.96,50.0,16.46
13373,277,61,3,3312.25,2.88,123.75,20.96
13375,89,89,1,772.9,6.96,102.0,21.04
13376,235,100,3,1019.76,5.8,50.0,19.24
13379,137,27,3,572.56,0.39,33.0,5.9
13381,299,32,6,3626.81,7.8,102.0,21.16
13382,281,281,1,222.99,9.95,19.8,14.87
13384,179,31,7,4122.28,8.4,232.0,27.32
13385,330,330,1,534.57,5.04,49.9,15.27
13388,132,132,2,627.15,5.04,53.1,19.35
13389,233,12,3,797.96,5.04,30.0,15.65
13390,75,75,1,544.08,15.0,119.4,41.85
13391,204,204,1,59.8,59.8,59.8,59.8
13394,310,2,8,2312.8,1.9,75.6,16.26
13395,186,186,1,307.72,1.92,31.9,14.65
13396,320,30,2,1325.29,8.5,118.8,31.65
13397,340,73,5,1539.18,8.5,162.72,40.64
13398,193,193,1,457.34,9.95,35.7,17.59
13402,373,128,2,621.23,2.28,53.1,15.93
13403,18,18,1,75.0,15.0,45.0,25.0
13404,213,2,2,252.49,9.96,63.75,22.95
13405,318,75,3,572.45,0.0,39.8,21.2
13408,374,2,62,27487.41,0.39,306.0,58.82
13410,292,25,5,988.91,5.04,70.2,35.82
13411,108,108,1,213.55,2.1,34.65,11.86
13414,297,134,3,1390.5,10.08,432.0,57.94
13416,82,44,2,712.5,17.0,79.2,37.5
13417,206,5,2,640.83,12.48,37.5,22.89
13418,373,12,18,5845.44,2.49,250.0,20.16
13419,64,64,1,221.06,5.04,25.2,13.82
13420,171,150,2,140.35,10.5,38.25,19.98
13421,291,41,2,1831.61,0.42,81.6,17.98
13422,65,65,1,2601.55,8.2,75.0,20.68
13425,295,109,3,1624.21,6.64,88.8,20.82
13426,360,1,10,3550.7,5.04,149.4,23.19
13427,216,20,3,582.6,6.96,79.2,20.09
13428,11,11,1,201.78,0.38,8.5,2.84
13429,76,11,4,1006.8,4.56,51.0,15.03
13430,87,19,2,648.69,2.28,51.0,13.87
13431,89,68,2,1269.1,6.64,183.6,27.59
13434,97,75,2,534.24,6.6,177.6,53.42
13435,190,6,7,3794.49,1.25,180.0,37.72
13436,2,2,1,196.89,10.2,25.5,16.41
13437,191,15,7,3408.06,6.72,102.0,20.41
13439,256,256,1,283.71,0.42,20.4,5.25
13441,92,92,1,296.64,9.96,81.12,22.82
13447,36,24,3,1104.23,4.68,53.55,19.14
13448,374,17,6,3460.99,0.85,60.0,18.22
13449,24,24,1,291.88,5.04,34.0,15.36
13450,219,27,6,2043.72,10.08,103.68,28.78
13451,335,27,5,2838.56,0.36,39.8,6.69
13452,271,260,2,590.0,295.0,295.0,295.0
13453,290,166,2,356.98,11.9,39.8,21.0
13455,367,25,2,1007.35,7.8,63.75,23.01
13456,208,18,6,1737.82,5.04,207.5,28.04
13458,360,8,14,9537.92,4.56,122.4,25.25
13460,50,30,2,183.44,4.68,17.0,10.79
13461,164,39,3,1445.0,19.8,163.8,53.52
13462,253,253,1,143.25,10.2,19.8,16.83
13464,59,59,1,674.68,6.96,30.0,16.46
13466,185,185,1,297.95,10.2,35.4,18.11
13467,37,11,2,1071.91,0.78,39.8,10.94
13468,374,2,37,5656.75,3.1,163.2,18.89
13470,116,100,2,165.0,16.5,16.5,16.5
13471,48,2,4,2501.84,0.39,45.0,9.85
13473,333,61,2,417.54,5.04,45.0,20.13
13474,237,237,1,226.84,0.42,12.75,3.66
13475,299,192,4,1431.78,6.96,76.32,16.65
13476,282,179,2,1092.77,11.6,125.0,21.35
13477,292,38,6,1441.53,5.04,76.5,18.41
13479,235,201,2,291.0,9.95,39.6,20.06
13481,257,46,5,1776.81,5.04,41.6,16.56
13482,233,233,1,184.64,6.96,20.28,16.79
13483,66,66,1,140.34,10.08,30.0,14.03
13484,242,242,1,313.8,15.9,67.5,39.22
13485,234,234,1,454.24,10.2,70.8,19.75
13486,156,79,3,1122.41,4.56,39.6,16.27
13487,354,58,3,575.4,10.2,35.4,16.92
13488,368,18,13,8910.61,5.04,238.8,21.25
13489,295,106,4,449.52,7.8,158.4,32.11
13491,373,52,10,1215.82,2.28,30.6,14.14
13494,312,312,1,316.26,8.5,35.4,17.57
13495,369,8,5,1990.12,10.08,135.0,42.6
13496,360,11,2,617.93,5.04,70.8,18.67
13497,369,283,2,321.05,9.9,35.4,18.32
13499,270,18,5,1146.96,6.96,102.0,27.6
13500,123,24,3,1136.77,10.08,39.6,17.95
13502,324,17,3,292.0,4.2,59.4,16.22
13503,72,72,1,216.85,8.2,23.9,12.76
13504,65,65,1,295.93,4.68,22.5,13.45
13506,370,317,2,452.82,9.95,30.0,17.64
13507,146,4,4,2479.16,4.56,39.6,15.3
13508,244,244,1,110.97,2.5,17.85,9.25
13509,285,9,7,979.72,7.56,127.2,22.27
13510,184,2,4,1785.16,5.04,40.8,15.58
13512,261,261,1,251.21,9.95,30.0,16.75
13513,127,127,1,205.1,9.9,60.0,20.51
13514,74,74,1,152.2,35.4,41.5,38.05
13515,248,73,4,891.12,6.96,35.4,15.1
13516,239,22,3,1389.41,9.96,180.0,31.58
13517,180,60,3,2109.07,2.34,35.4,15.1
13518,86,86,1,627.16,8.5,35.4,17.42
13519,79,79,1,110.8,11.9,23.9,15.34
13521,11,2,3,1071.73,0.19,17.0,2.56
13522,31,31,1,125.8,15.0,35.7,25.16
13523,367,34,5,3755.38,6.64,165.0,23.05
13524,220,41,5,680.18,5.9,40.8,25.19
13525,249,15,2,628.78,23.9,232.0,104.8
13527,327,34,7,2218.61,1.26,35.8,10.33
13529,205,79,2,307.76,9.96,50.85,20.52
13531,367,206,2,483.8,10.5,41.6,21.99
13532,34,34,1,210.31,0.85,30.0,3.19
13533,268,183,3,269.09,0.65,13.05,3.59
13534,359,3,25,5613.08,1.95,41.6,19.83
13536,76,2,7,3444.39,0.42,89.1,19.35
13538,316,44,7,1280.85,17.85,70.8,51.23
13539,310,86,3,605.84,10.08,33.9,17.06
13544,241,40,2,276.06,0.29,13.52,3.54
13546,201,13,3,621.09,0.29,38.25,6.4
13548,244,97,2,678.16,0.42,54.18,5.51
13549,243,26,7,916.12,6.8,45.0,18.0
13551,320,320,1,91.8,17.85,38.25,22.95
13552,316,67,12,3539.53,6.64,119.52,34.31
13555,202,74,4,4098.88,0.85,122.4,30.36
13557,281,29,2,584.06,9.96,60.0,17.18
13558,69,6,4,594.52,0.38,16.6,3.52
13560,8,8,1,171.42,0.79,14.75,5.36
13561,216,216,1,141.86,1.65,81.6,10.13
13562,246,82,3,1799.33,6.96,53.55,21.94
13563,141,85,2,777.53,0.39,165.0,15.87
13564,369,145,3,623.39,2.94,550.64,21.29
13565,335,20,2,240.22,0.85,30.0,6.32
13566,83,41,2,856.84,0.38,47.6,5.07
13568,174,174,1,187.05,0.85,11.8,4.35
13569,368,18,2,338.62,0.42,16.95,4.29
13570,244,244,1,239.49,0.85,40.56,8.87
13571,254,13,12,2088.94,0.42,20.8,6.14
13572,206,206,1,1384.25,8.85,157.92,41.95
13573,254,51,2,290.25,0.39,41.25,11.61
13575,177,24,5,732.07,6.96,41.6,15.91
13576,374,11,18,6703.3,1.25,244.08,53.31
13577,242,26,4,1658.3,8.5,99.0,20.33
13579,370,15,2,467.04,8.95,47.7,20.31
13581,310,310,1,118.0,1.45,31.8,11.8
13583,156,156,1,781.03,4.56,31.6,14.74
13584,307,307,1,142.4,0.85,27.25,5.93
13587,64,64,1,347.0,19.8,299.4,89.05
13588,256,16,9,2445.12,0.39,39.6,14.25
